iter	Passed	Remaining
420	3090	4250
421	3095	4239
422	3097	4224
423	3099	4210
424	3100	4195
425	3102	4180
426	3104	4166
427	3135	4191
428	3164	4212
429	3166	4197
430	3169	4183
431	3170	4168
432	3201	4191
433	3202	4177
434	3206	4165
435	3213	4156
436	3296	4247
437	3299	4233
438	3301	4218
439	3303	4205
440	3352	4249
441	3355	4236
442	3357	4221
443	3359	4206
444	3362	4193
445	3367	4183
446	3369	4168
447	3371	4153
448	3372	4138
449	3390	4144
450	3395	4133
451	3397	4118
452	3398	4103
453	3400	4089
454	3402	4075
455	3407	4065
456	3409	4051
457	3418	4045
458	3420	4031
459	3422	4017
460	3424	4003
461	3432	3996
462	3433	3982
463	3435	3968
464	3437	3954
465	3439	3940
466	3450	3938
467	3452	3924
468	3454	3910
469	3456	3897
470	3458	3883
471	3461	3872
472	3465	3860
473	3467	3847
474	3473	3839
475	3476	3827
476	3478	3814
477	3480	3800
478	3482	3787
479	3488	3778
480	3490	3765
481	3497	3758
482	3499	3746
483	3505	3737
484	3512	3729
485	3539	3743
486	3542	3731
487	3544	3718
488	3546	3705
489	3548	3692
490	3563	3694
491	3571	3687
492	3572	3674
493	3574	3661
494	3577	3650
495	3579	3637
496	3586	3629
497	3593	3622
498	3595	3609
499	3606	3606
500	3608	3594
501	3610	3582
502	3616	3572
503	3617	3560
504	3619	3548
505	3621	3535
506	3624	3524
507	3626	3511
508	3631	3503
509	3633	3490
510	3634	3478
511	3636	3466
512	3655	3469
513	3656	3457
514	3663	3449
515	3666	3439
516	3671	3430
517	3694	3437
518	3696	3425
519	3698	3414
520	3700	3402
521	3702	3390
522	3704	3378
523	3712	3372
524	3715	3361
525	3717	3350
526	3727	3345
527	3729	3333
528	3736	3327
529	3740	3317
530	3743	3306
531	3747	3296
532	3749	3285
533	3762	3283
534	3770	3276
535	3773	3266
536	3774	3254
537	3776	3242
538	3778	3231
539	3786	3225
540	3788	3214
541	3794	3206
542	3798	3196
543	3799	3185
544	3801	3173
545	3811	3169
546	3813	3158
547	3815	3147
548	3817	3136
549	3841	3143
550	3843	3132
551	3846	3121
552	3847	3110
553	3849	3098
554	3880	3111
555	3882	3100
556	3884	3089
557	3886	3078
558	3888	3067
559	3889	3056
560	3891	3045
561	3893	3034
562	3894	3022
563	3895	3011
564	3897	3000
565	3908	2997
566	3910	2986
567	3911	2974
568	3912	2963
569	3916	2954
570	3919	2944
571	3921	2934
572	3923	2923
573	3926	2913
574	3933	2907
575	3935	2896
576	3936	2886
577	3938	2875
578	3939	2864
579	3940	2853
580	3942	2843
581	3951	2837
582	3955	2829
583	3957	2818
584	3960	2809
585	3962	2799
586	3968	2792
587	3970	2781
588	3971	2771
589	3973	2761
590	3985	2758
591	3987	2748
592	3989	2737
593	3995	2731
594	3997	2720
595	3999	2710
596	4000	2700
597	4003	2691
598	4018	2690
599	4020	2680
600	4027	2673
601	4033	2666
602	4036	2657
603	4042	2650
604	4044	2640
605	4046	2631
606	4048	2621
607	4049	2610
608	4050	2600
609	4052	2590
610	4062	2586
611	4063	2576
612	4064	2566
613	4066	2556
614	4067	2546
615	4073	2539
616	4074	2529
617	4076	2519
618	4077	2509
619	4078	2499
620	4080	2490
621	4081	2480
622	4086	2473
623	4089	2464
624	4090	2454
625	4092	2444
626	4095	2436
627	4096	2426
628	4106	2422
629	4108	2412
630	4109	2403
631	4110	2393
632	4121	2389
633	4123	2380
634	4125	2371
635	4126	2361
636	4127	2352
637	4142	2350
638	4143	2340
639	4155	2337
640	4158	2328
641	4164	2322
642	4168	2314
643	4173	2307
644	4175	2297
645	4198	2300
646	4202	2292
647	4204	2284
648	4207	2275
649	4208	2266
650	4216	2260
651	4233	2259
652	4237	2251
653	4240	2243
654	4242	2234
655	4273	2240
656	4314	2252
657	4317	2244
658	4320	2235
659	4322	2226
660	4324	2217
661	4326	2208
662	4328	2200
663	4334	2193
664	4339	2185
665	4341	2177
666	4371	2182
667	4381	2177
668	4383	2169
669	4386	2160
670	4388	2151
671	4390	2142
672	4396	2136
673	4399	2128
674	4403	2120
675	4409	2113
676	4414	2106
677	4416	2097
678	4419	2089
679	4445	2091
680	4447	2083
681	4448	2074
682	4451	2066
683	4456	2058
684	4460	2051
685	4462	2042
686	4464	2034
687	4466	2025
688	4511	2036
689	4516	2029
690	4524	2023
691	4526	2014
692	4530	2007
693	4532	1998
694	4540	1992
695	4543	1984
696	4549	1977
697	4562	1974
698	4565	1965
699	4575	1960
700	4577	1952
701	4578	1943
702	4579	1934
703	4594	1931
704	4596	1923
705	4602	1916
706	4604	1908
707	4606	1899
708	4607	1891
709	4608	1882
710	4611	1874
711	4617	1867
712	4618	1859
713	4620	1850
714	4622	1842
715	4623	1833
716	4625	1825
717	4642	1823
718	4646	1815
719	4648	1807
720	4649	1799
721	4651	1791
722	4653	1783
723	4655	1774
724	4657	1766
725	4667	1761
726	4669	1753
727	4671	1745
728	4672	1737
729	4674	1728
730	4676	1720
731	4677	1712
732	4679	1704
733	4681	1696
734	4684	1689
735	4690	1682
736	4692	1674
737	4694	1666
738	4695	1658
739	4696	1650
740	4698	1642
741	4699	1634
742	4709	1629
743	4713	1621
744	4715	1613
745	4722	1607
746	4723	1599
747	4725	1592
748	4727	1584
749	4729	1576
750	4730	1568
751	4769	1572
752	4771	1565
753	4773	1557
754	4775	1549
755	4777	1541
756	4779	1534
757	4851	1548
758	4853	1541
759	4855	1533
760	4856	1525
761	4858	1517
762	4860	1509
763	4866	1503
764	4868	1495
765	4870	1487
766	4871	1479
767	4874	1472
768	4902	1472
769	4904	1464
770	4916	1460
771	4954	1463
772	4956	1455
773	4961	1448
774	4963	1441
775	4965	1433
776	4966	1425
777	4968	1417
778	4970	1409
779	4971	1402
780	4979	1396
781	4980	1388
782	4982	1380
783	4984	1373
784	4986	1365
785	4987	1357
786	4994	1351
787	4996	1344
788	4998	1336
789	4999	1329
790	5001	1321
791	5002	1313
792	5007	1307
793	5009	1299
794	5011	1292
795	5013	1284
796	5015	1277
797	5016	1269
798	5018	1262
799	5039	1259
800	5041	1252
801	5042	1244
802	5044	1237
803	5045	1230
804	5047	1222
805	5048	1215
806	5049	1207
807	5051	1200
808	5052	1192
809	5054	1185
810	5061	1179
811	5063	1172
812	5065	1165
813	5067	1157
814	5068	1150
815	5070	1143
816	5077	1137
817	5080	1130
818	5084	1123
819	5086	1116
820	5091	1110
821	5094	1103
822	5095	1095
823	5097	1088
824	5098	1081
825	5100	1074
826	5101	1067
827	5103	1060
828	5105	1053
829	5113	1047
830	5115	1040
831	5117	1033
832	5118	1026
833	5119	1019
834	5121	1012
835	5126	1005
836	5128	998
837	5130	991
838	5132	984
839	5133	977
840	5135	970
841	5149	966
842	5151	959
843	5159	953
844	5162	946
845	5164	940
846	5165	933
847	5172	927
848	5174	920
849	5177	913
850	5178	906
851	5180	899
852	5181	893
853	5189	887
854	5191	880
855	5192	873
856	5194	866
857	5195	859
858	5196	853
859	5199	846
860	5201	839
861	5202	832
862	5204	826
863	5206	819
864	5240	817
865	5274	816
866	5276	809
867	5279	802
868	5281	796
869	5283	789
870	5284	782
871	5291	776
872	5293	770
873	5295	763
874	5297	756
875	5299	750
876	5305	744
877	5340	742
878	5342	735
879	5343	728
880	5345	722
881	5347	715
882	5352	709
883	5359	703
884	5362	696
885	5365	690
886	5368	683
887	5395	680
888	5397	673
889	5399	667
890	5401	660
891	5402	654
892	5408	648
893	5410	641
894	5412	634
895	5413	628
896	5415	621
897	5416	615
898	5418	608
899	5419	602
900	5422	595
901	5428	589
902	5503	591
903	5507	584
904	5509	578
905	5511	571
906	5519	565
907	5521	559
908	5525	553
909	5534	547
910	5538	541
911	5539	534
912	5541	528
913	5548	522
914	5550	515
915	5552	509
916	5554	502
917	5556	496
918	5560	490
919	5562	483
920	5564	477
921	5570	471
922	5579	465
923	5581	459
924	5584	452
925	5597	447
926	5600	440
927	5614	435
928	5624	429
929	5626	423
930	5628	417
931	5630	410
932	5632	404
933	5645	398
934	5646	392
935	5654	386
936	5657	380
937	5661	374
938	5662	367
939	5669	361
940	5672	355
941	5674	349
942	5676	343
943	5677	336
944	5693	331
945	5698	325
946	5701	319
947	5703	312
948	5705	306
949	5707	300
950	5709	294
951	5742	289
952	5746	283
953	5748	277
954	5749	270
955	5752	264
956	5753	258
957	5755	252
958	5756	246
959	5769	240
960	5771	234
961	5772	228
962	5778	222
963	5780	215
964	5784	209
965	5785	203
966	5787	197
967	5793	191
968	5794	185
969	5795	179
970	5797	173
971	5798	167
972	5800	160
973	5802	154
974	5803	148
975	5806	142
976	5809	136
977	5812	130
978	5817	124
979	5820	118
980	5824	112
981	5826	106
982	5828	100
983	5829	94
984	5834	88
985	5836	82
986	5841	76
987	5844	70
988	5846	65
989	5848	59
990	5851	53
991	5866	47
992	5868	41
993	5877	35
994	5880	29
995	5883	23
996	5887	17
997	5890	11
998	5892	5
999	5894	0
